frame,car,driver,lap,pos_x,pos_y,speed,throttle,brake,steer,angular_vel,rotation,track_offset,lateral_dist,overtake_state,draft
3,0,VOR,0,2203.6,-1798.1,0.0,0.000,0.000,0.000,0.0000,3.0746,0.0,12.00,follow,0
3,1,APX,0,2200.4,-1845.9,0.0,0.000,0.000,0.000,0.0000,3.0746,0.0,12.00,follow,0
3,2,SEN,0,2291.3,-1798.0,0.0,0.000,0.000,0.000,0.0000,3.1416,3740.0,12.00,follow,0
3,3,STR,0,2291.3,-1846.0,0.0,0.000,0.000,0.000,0.0000,3.1416,3740.0,12.00,follow,0
3,4,BLZ,0,2371.4,-1798.3,0.0,0.000,0.000,0.000,0.0000,3.1361,3700.0,12.00,follow,0
3,5,CIR,0,2371.2,-1846.3,0.0,0.000,0.000,0.000,0.0000,3.1361,3700.0,12.00,follow,0
3,6,NIT,0,2451.4,-1798.7,0.0,0.000,0.000,0.000,0.0000,3.1371,3660.0,12.00,follow,0
3,7,THR,0,2451.2,-1846.7,0.0,0.000,0.000,0.000,0.0000,3.1371,3660.0,12.00,follow,0
3,8,GSK,0,2531.4,-1799.0,0.0,0.000,0.000,0.000,0.0000,3.1384,3620.0,12.00,follow,0
3,9,DFT,0,2531.2,-1847.0,0.0,0.000,0.000,0.000,0.0000,3.1384,3620.0,12.00,follow,0
6,0,VOR,0,2203.6,-1798.1,0.0,0.000,0.000,0.000,0.0000,3.0746,0.0,12.00,follow,0
6,1,APX,0,2200.4,-1845.9,0.0,0.000,0.000,0.000,0.0000,3.0746,0.0,12.00,follow,0
6,2,SEN,0,2291.3,-1798.0,0.0,0.000,0.000,0.000,0.0000,3.1416,3740.0,12.00,follow,0
6,3,STR,0,2291.3,-1846.0,0.0,0.000,0.000,0.000,0.0000,3.1416,3740.0,12.00,follow,0
6,4,BLZ,0,2371.4,-1798.3,0.0,0.000,0.000,0.000,0.0000,3.1361,3700.0,12.00,follow,0
6,5,CIR,0,2371.2,-1846.3,0.0,0.000,0.000,0.000,0.0000,3.1361,3700.0,12.00,follow,0
6,6,NIT,0,2451.4,-1798.7,0.0,0.000,0.000,0.000,0.0000,3.1371,3660.0,12.00,follow,0
6,7,THR,0,2451.2,-1846.7,0.0,0.000,0.000,0.000,0.0000,3.1371,3660.0,12.00,follow,0
6,8,GSK,0,2531.4,-1799.0,0.0,0.000,0.000,0.000,0.0000,3.1384,3620.0,12.00,follow,0
6,9,DFT,0,2531.2,-1847.0,0.0,0.000,0.000,0.000,0.0000,3.1384,3620.0,12.00,follow,0
9,0,VOR,0,2203.6,-1798.1,0.0,0.000,0.000,0.000,0.0000,3.0746,0.0,12.00,follow,0
9,1,APX,0,2200.4,-1845.9,0.0,0.000,0.000,0.000,0.0000,3.0746,0.0,12.00,follow,0
9,2,SEN,0,2291.3,-1798.0,0.0,0.000,0.000,0.000,0.0000,3.1416,3740.0,12.00,follow,0
9,3,STR,0,2291.3,-1846.0,0.0,0.000,0.000,0.000,0.0000,3.1416,3740.0,12.00,follow,0
9,4,BLZ,0,2371.4,-1798.3,0.0,0.000,0.000,0.000,0.0000,3.1361,3700.0,12.00,follow,0
9,5,CIR,0,2371.2,-1846.3,0.0,0.000,0.000,0.000,0.0000,3.1361,3700.0,12.00,follow,0
9,6,NIT,0,2451.4,-1798.7,0.0,0.000,0.000,0.000,0.0000,3.1371,3660.0,12.00,follow,0
9,7,THR,0,2451.2,-1846.7,0.0,0.000,0.000,0.000,0.0000,3.1371,3660.0,12.00,follow,0
9,8,GSK,0,2531.4,-1799.0,0.0,0.000,0.000,0.000,0.0000,3.1384,3620.0,12.00,follow,0
9,9,DFT,0,2531.2,-1847.0,0.0,0.000,0.000,0.000,0.0000,3.1384,3620.0,12.00,follow,0
12,0,VOR,0,2203.6,-1798.1,0.0,0.000,0.000,0.000,0.0000,3.0746,0.0,12.00,follow,0
